Chatgaya,Bangla
"আজিইয়্যে যা শপিং গইজ্জি, মনে অয় এক বছর ন গরিলিও চলিবু","আজকে যা শপিং করলাম, মনে হয় এক বছর না করলেও চলবে"
"আঁই বই থেইক্কি, তুঁই কি গরো?","আমি বসে আছি, তুমি কি করো?"
নমস্কার স্যার,নমস্কার স্যার
ঘরোত চোর ঢুকি বিয়াক জিনিস লই গেইয়্যি,ঘরে চোর ঢুকে সব জিনিস নিয়ে গেছে
আইবের সমত তুর মঅতু বইনুরে দেহিলাম গারিত গরি হনডে যার,আসার সময় তোর মামাতো বোনকে দেখলাম গাড়িতে করে কোথায় যাচ্ছে
আইবের সমত তুর মঅতু বইনুরে দেহিলাম গারিত গরি হডে যার,আসার সময় তোর মামাতো বোনকে দেখলাম গাড়িতে করে কোথায় যাচ্ছে
"একবার চেক গরি স, বিয়াজ্ঞুন বাসুত উইঠটি কিনা","একবার চেক করে দেখ, সবাই বাসে উঠছে কি না"
"একবার চেক গরি স, বেজ্ঞুন বাসুত উইঠটি কিনা","একবার চেক করে দেখ, সবাই বাসে উঠছে কি না"
আঁর লগে হইজ্জে গরিলি কি মন ভালা অই যাইবু?,আমার সঙ্গে ঝগড়া করলে কি মন ভালো হয়ে যাবে?
আঁর লগে হইজ্জে গরিলি কি মন গম অই যাইবু?,আমার সঙ্গে ঝগড়া করলে কি মন ভালো হয়ে যাবে?
"রুমোত ঠান্ডা বাতাস ঢুকের, হারা জানালা বন্ধ গরি দ","রুমে ঠান্ডা বাতাস ঢুকছে, তাড়াতাড়ি জানালা বন্ধ করে দাও"
"রুমোত ঠান্ডা বাতাস ঢুকের, তারাতারি জানালা বন্ধ গরি দ","রুমে ঠান্ডা বাতাস ঢুকছে, তাড়াতাড়ি জানালা বন্ধ করে দাও"
"রুমোত ঠান্ডা বাতাস ঢুকের, জলদি জানালা বন্ধ গরি দ","রুমে ঠান্ডা বাতাস ঢুকছে, তাড়াতাড়ি জানালা বন্ধ করে দাও"
"আর বেশি সময় বাকি নেই, আরেক্কানা পরে অনুষ্ঠান শুরু অইবু","আর বেশি সময় বাকি নেই, আরেকটু পরে অনুষ্ঠান শুরু হবে"
"এবার আঁর ব্যবসাত এব্বেরে লস অইবু, বিয়াক পিয়েজ পুচি গেইয়্যি","এবার আমার ব্যবসায় একদম লস হবে, সব পেঁয়াজ পচে গেছে"
বৌত হদিজ্ঞিন হর জমি আছে,অনেকগুলো কাপড় জমে আছে
"আঁরার এনডে আগে ঠিক আছিল, এহন বেশি সমস্যা গরের","আমাদের এখানে আগে ঠিক ছিল, এখন বেশি সমস্যা করছে"
"বাইচ্চে ইবে মাঢ়োত ইক্কেত্তুন উইক্কে দূরে আর আ'সে, দেহিলি মন ভালা অই যায়","বাচ্চাটা মাঠে এদিক ওদিক দৌড়ায় আর হাসে, দেখলে মন ভালো হয়ে যায়"
"বাইচ্চে ইবে মাঢ়োত ইক্কেত্তুন উইক্কে দূরে আর আ'সে, দেহিলি মন গম অই যায়","বাচ্চাটা মাঠে এদিক ওদিক দৌড়ায় আর হাসে, দেখলে মন ভালো হয়ে যায়"
"হালিয়ে যদি রইদ থাহে, তইলি মাঢ়োর ধান হাডি রইদুত ফোওয়োন যাইবু","আগামীকাল যদি রোদ থাকে, তাহলে মাঠের ধান কেটে রোদে শুকানো যাবে"
বিলের হঅর হায় আম্মু এক মাস হাসপাতালুত আছিল,বিড়ালের কামড় খেয়ে আম্মু এক মাস হাসপাতালে ছিল
শীতহালে ঠান্ডা পানি হাইলি গলা ব্যথা অই যাইবু,শীতকালে ঠান্ডা পানি খেলে গলা ব্যথা হয়ে যাবে
বেইন্নে ফজোরত খিচুড়ি হাইয়্যি রে আঁর পেডোর অবস্থা হারাফ,সকাল সকাল খিচুড়ি খেয়ে আমার পেটের অবস্থা খারাপ
"গতবার আঁরার প্রশ্ন বৌত কঠিন অইয়্যিল, এতেল্লে এবার সহজ অন ফরিবু","গতবার আমাদের প্রশ্ন অনেক কঠিন হয়েছিল, তাই এবার সহজ হতে হবে"
"তুর ছোডো বইন ইতি বেশি হাবিল, বিয়াক জাগাত হতা হয়","তোর ছোট বোনটা বেশি কাবিল, সব জায়গায় কথা বলে"
"তুর ছোডো বইন ইতি বেশি হাবিল, বিয়াক জাগাত হথা হয়","তোর ছোট বোনটা বেশি কাবিল, সব জায়গায় কথা বলে"
মুশা হদুজ্ঞুন আজিয়ে বেশি জালার,মশা কতগুলো আজকে বেশি জালাচ্ছে
মুশা হদুজ্ঞুন আজিইয়্যে বেশি জালার,মশা কতগুলো আজকে বেশি জালাচ্ছে
দাম এল্লেত বেশি কা হর? আরেক্কানা হমাই রাহো,দাম এত বেশি কেন বলছো? আরেকটু কমিয়ে রাখো
দাম এতো বেশি কা হর? আরেক্কানা হমাই রাহো,দাম এত বেশি কেন বলছো? আরেকটু কমিয়ে রাখো
"সামনুর মাসুত আঁই বেশি বিজি থেইক্কুম, এতেল্লে টুরুত যাইত পাইত্তাম ন","সামনের মাসে আমি বেশি ব্যস্ত থাকব, সেজন্য টুরে যেতে পারব না"
"অঁনে এক্কানা এনডে থিয়ন, আঁই ডাক্তার উরে ডাহি আনির","আপনি একটু এখানে দাঁড়ান, আমি ডাক্তারকে ডেকে আনছি"
"অঁনে ইক্কিনি এনডে থিয়ন, আঁই ডাক্তার উরে ডাহি আনির","আপনি একটু এখানে দাঁড়ান, আমি ডাক্তারকে ডেকে আনছি"
"বিয়াজ্ঞুন বারিত চলি গেইয়্যি, উধো আঁই এহেল্লে আছি","সবাই বাড়িতে চলে গেছে, শুধু আমি একা আছি"
"বেজ্ঞুন বারিত চলি গেইয়্যি, উধো আঁই এহেল্লে আছি","সবাই বাড়িতে চলে গেছে, শুধু আমি একা আছি"
তুঁই আঁর পিছে পিছে আইয়্যু,তুমি আমার পিছন পিছন আসো
"আম্মু, আঁই আজিয়ে ন যাইয়্যুম, হালিয়ে আইসসুম","মা, আমি আজকে যাব না, আগামীকাল আসব"
"আম্মু, আঁই আজিইয়্যে ন যাইয়্যুম, হালিয়ে আইসসুম","মা, আমি আজকে যাব না, আগামীকাল আসব"
"এগুন সাগরুর মাছ, দাম হম ন অইবু","এগুলো সাগরের মাছ, দাম কম হবে না"
"এবার ঘরুর ছাল ইয়েন ঠিক গরন ফরিবু, নইলি বর্ষাহালে পানি ফরিবু","এবার ঘরের ছালাটা ঠিক করতে হবে, নাহয় বর্ষাকালে পানি পড়বে"
মাঝে মাঝে নিজুর উদ্দি বৌত গুসসা উডে,মাঝে মাঝে নিজের উপর অনেক রাগ উঠে
তইলি এতোদিন পর আঁর হতা মনোত ফইজ্জি,তাহলে এতোদিন পর আমার কথা মনে পড়ছে
তইলি এতোদিন পর আঁর হথা মনোত ফইজ্জি,তাহলে এতোদিন পর আমার কথা মনে পড়ছে
তুই আব্বুর পকেটুত্তুন টিয়া লইয়্যুস যে আঁই আব্বুরে হই দিয়্যুম,তুই আব্বুর পকেট থেকে টাকা নিয়েছিস যে আমি আব্বুকে বলে দেব
"ভাইয়ে, তোঁয়ারে আম্মু ডাহের","ভাইয়া, তোমাকে আম্মু ডাকছে"
"কেন আছস বন্ধু, তুরে বৌতদিন পর দেহিদ্দি",কেমন আছিস বন্ধু? তোকে অনেকদিন পর দেখতাছি
শরীলুত এতো ক্লান্তি জমি গেইয়্যি দে ছুটির দিনুতও বিছেন ছারি উইট্টু ইচ্ছে ন গরে,শরীরে এত ক্লান্তি জমে গেছে যে ছুটির দিনেও বিছানা ছেড়ে উঠতে ইচ্ছে করে না
শরীলুত এল্লেত ক্লান্তি জমি গেইয়্যি দে ছুটির দিনুতও বিছেন ছারি উইট্টু ইচ্ছে ন গরে,শরীরে এত ক্লান্তি জমে গেছে যে ছুটির দিনেও বিছানা ছেড়ে উঠতে ইচ্ছে করে না
"আসমানুর মিক্কে তাকায় সো, হদিজ্ঞিন সাদা সাদা মৌলো","আসমানের দিকে তাকিয়ে দেখো, কতগুলো সাদা সাদা মেঘ"
"দরজার বাদ্দি উজ্ঞো ফইর থিয়েই থেইক্কি, চইল এগুন ইবেরে দি আইয়্যু","দরজার বাইরে একটা ভিক্কুক দাঁড়ায় আছে, চাল গুলো উনাকে দিয়ে আসো"
"দরজার বাইরে উজ্ঞো ফইর থিয়েই থেইক্কি, চইল এগুন ইবেরে দি আইয়্যু","দরজার বাইরে একটা ভিক্কুক দাঁড়ায় আছে, চাল গুলো উনাকে দিয়ে আসো"
"এই কুত্তো ইবে বৌত যারগো, সবসময় যারগই গরে","এই কুকুরটা অনেক দুষ্টু, সবসময় দুষ্টামি করে"
আঁই তোঁয়ার লগে হতা হইতাম চাই,আমি তোমার সাথে কথা বলতে চাই
আঁই তোঁয়ার ওয়ারে হতা হইতাম চাই,আমি তোমার সাথে কথা বলতে চাই
আঁই তোঁয়ার ফুয়ারে হতা হইতাম চাই,আমি তোমার সাথে কথা বলতে চাই
আঁই তোঁয়ার লগে হথা হইতাম চাই,আমি তোমার সাথে কথা বলতে চাই
"আঁই এক্কান হইলাম, আর তুঁই আরেক্কান রান্না গইজ্জো","আমি একটা বললাম, আর তুমি আরেকটা রান্না করছ"
নানা বাঁছি থাইকতে আঁরারে বৌত দেইত ফাইত্তো,নানা বেঁচে থাকতে আমাদেরকে অনেক দেখতে পারতেন
এবারোর ঈদুর পাঞ্জাবী ইবে বৌত সুন্দর অইয়্যি,এবারের ঈদের পাঞ্জাবীটা অনেক সুন্দর হয়েছে
আইয়্যু বিয়াজ্ঞুন এক্কত্তরে নাস্তা গরি,আসো সবাই একসাথে নাস্তা করি
আইয়্যু বেজ্ঞুন এক্কত্তরে নাস্তা গরি,আসো সবাই একসাথে নাস্তা করি
"তোঁয়ার নয়া রান্নার রেসিপি ইবে আঁরারেও শিখাইবে হইলে, মনোত আছেনা?","তোমার নতুন রান্নার রেসিপিটা আমাদেরও শিখাবে বলেছিলে, মনে আছে?"
"দোয়ানদার দুইজ্জের হানা হাইতু গেইয়্যি, অঁনেরা এক্কানা বইয়্যুন","দোকানদার দুপুরের খাবার খেতে গেছে, আপনারা একটু বসুন"
"দোয়ানদার দুইজ্জের হানা হাইতু গেইয়্যি, অঁনেরা ইক্কিনি বইয়্যুন","দোকানদার দুপুরের খাবার খেতে গেছে, আপনারা একটু বসুন"
"রাস্তার পাশে একজন মানুষ বই থেইক্কি, ইবেত্তুন বৌত ঠান্ডা লাগের","রাস্তার পাশে একজন মানুষ বসে আছে, তার খুব ঠান্ডা লাগছে"
"রাস্তার পাশে একজন মানুষ বই থেইক্কি, ইবেত্তুন বৌত ঠান্ডা লার","রাস্তার পাশে একজন মানুষ বসে আছে, তার খুব ঠান্ডা লাগছে"
"রাস্তার ডাহে একজন মানুষ বই থেইক্কি, ইবেত্তুন বৌত ঠান্ডা লাগের","রাস্তার পাশে একজন মানুষ বসে আছে, তার খুব ঠান্ডা লাগছে"
"শারি ইয়েনুর দাম হতো, এক্কানা হইবেন?","এই শাড়িটার দাম কত, একটু বলবেন?"
"শারি ইয়েনুর দাম হতো, ইক্কিনি হইবেন?","এই শাড়িটার দাম কত, একটু বলবেন?"
আত্তুন ফুল গম লাগে আর আঁই বাগান গত্তে পছন্দ গরি,আমার ফুল ভাল লাগে এবং আমি বাগান করতে পছন্দ করি
আত্তুন ফুল ভালা লাগে আর আঁই বাগান গত্তে পছন্দ গরি,আমার ফুল ভাল লাগে এবং আমি বাগান করতে পছন্দ করি
"আঁরার জীবন ইয়েন বৌত ছোডো, এতেল্লে যতদিন বাছি আছি ভালা হাজ গরন দরহার","আমাদের জীবনটা অনেক ছোট, তাই যতদিন বেঁচে আছি ভালো কাজ করা দরকার"
"আঁরার জীবন ইয়েন বৌত ছোডো, এতেল্লে যতদিন বাছি আছি গম হাজ গরন দরহার","আমাদের জীবনটা অনেক ছোট, তাই যতদিন বেঁচে আছি ভালো কাজ করা দরকার"
"আঁরার জীবন ইয়েন বৌত ছোডো, এতেল্লে যতদিন বাছি আছি ভালা হাম গরন দরহার","আমাদের জীবনটা অনেক ছোট, তাই যতদিন বেঁচে আছি ভালো কাজ করা দরকার"
বেইন্নের রইদোত বলে ভিটেমিন ডি আছে,সকালের রোদে নাকি ভিটামিন ডি আছে
তোর ব্যাগ ইবে হত্তুন কিন্নুস? বৌত সুন্দর অইয়্যি,তোর ব্যাগটা কোথা থেকে কিনেছিস? অনেক সুন্দর হয়েছে
"কি হবর বিয়াজ্ঞুনোর, বিয়াজ্ঞুন কেন আছো?","কি খবর সবার, সবাই কেমন আছো?"
"কি হবর বিয়াজ্ঞুনোর, বেজ্ঞুন কেন আছো?","কি খবর সবার, সবাই কেমন আছো?"
"এই সপ্তাত যাইতাম ন, সামনোর সপ্তাত্তুন যাইয়্যুম ইনশাআল্লাহ","এই সপ্তাহ যাব না, সামনের সপ্তাহ থেকে যাব ইনশাআল্লাহ"
এহন যেদ্দুর অইয়্যি ইয়েন লই আরাত্তুন বাকি হাজ শুরু গরি দন ফরিবু,এখন যতটুকু হয়েছে সেটা নিয়ে আমাদের বাকি কাজ শুরু করে দিতে হবে
এহন যেদ্দুর অইয়্যি ইয়েন লই আরাত্তুন বাকি হাম শুরু গরি দন ফরিবু,এখন যতটুকু হয়েছে সেটা নিয়ে আমাদের বাকি কাজ শুরু করে দিতে হবে
"এবার বারিত যায়, আজুইন্নে অই গেইয়্যি","এবার বাড়ি যায়, সন্ধ্যা হয়ে গেছে"
ল্যাপটপুর লগে ফ্রি আর কী কী দিইয়্যি?,ল্যাপটপের সঙ্গে ফ্রি আর কী কী দিয়েছে?
শীতহালে ফইরোর ফানি বেশি ঠান্ডা,শীতকালে পুকুরের পানি বেশি ঠান্ডা
নতুন হুত্তা কিনিলি আঁর মন এব্বেরে ভালা অই যায়,নতুন জামা কিনলে আমার মন একদম ভালো হয়ে যায়
নতুন হুত্তা কিনিলি আঁর মন এব্বেরে গম অই যায়,নতুন জামা কিনলে আমার মন একদম ভালো হয়ে যায়
আঁরো বারির পিছুদ্দি আরেক্কান বারি আছে,আমাদের বাড়ির পিছনে আরেকটা বাড়ি আছে
লেবুর রস দি গরম গরম ছটফডি বৌত মজা লাগে,লেবুর রস দিয়ে গরম গরম ছটপটি অনেক মজা লাগে
আত্তুন আজিয়ে এক্কানা শরীল হারাপ,আমার আজকে একটু শরীর খারাপ
আত্তুন আজিইয়্যে এক্কানা শরীল হারাপ,আমার আজকে একটু শরীর খারাপ
আত্তুন আজিয়ে ইক্কিনি শরীল হারাপ,আমার আজকে একটু শরীর খারাপ
আত্তুন আজিয়ে এক্কানা শরীর হারাপ,আমার আজকে একটু শরীর খারাপ
"আরে বদ্দা, এল্লেত সিরিয়াস অইলি ন চলিবু, এক্কানা আ'সন","আরে ভাই, এত সিরিয়াস হলে চলবে না, একটু হাসুন"
"আরে বদ্দা, এতো সিরিয়াস অইলি ন চলিবু, এক্কানা আ'সন","আরে ভাই, এত সিরিয়াস হলে চলবে না, একটু হাসুন"
"আরে বদ্দা, এল্লেত সিরিয়াস অইলি ন চলিবু, ইক্কিনি আ'সন","আরে ভাই, এত সিরিয়াস হলে চলবে না, একটু হাসুন"
ইতে তোঁয়ার আংকেলুর লগে হইজ্জে গইত্তো চার,সে তোমার আংকেলের সাথে ঝগড়া করতে চাচ্ছে
ইতে তোঁয়ার আংকেলুর ওয়ারে হইজ্জে গইত্তো চার,সে তোমার আংকেলের সাথে ঝগড়া করতে চাচ্ছে
ইতে তোঁয়ার আংকেলুর ফুয়ারে হইজ্জে গইত্তো চার,সে তোমার আংকেলের সাথে ঝগড়া করতে চাচ্ছে
"তোঁয়ার অরো বারিত্তুন মেমান আইবু, এতেল্লে বাজারুত্তুন গোস্ত লই আইয়্যু","তোমার শ্বশুরবাড়ি থেকে মেহমান আসবে, তাই বাজার থেকে মাংস নিয়ে আসো"
"তোঁয়ার অরো বারিত্তুন গরবা আইবু, এতেল্লে বাজারুত্তুন গোস্ত লই আইয়্যু","তোমার শ্বশুরবাড়ি থেকে মেহমান আসবে, তাই বাজার থেকে মাংস নিয়ে আসো"
বেইন্নে বিয়াম গরিলি শরীল ভালা থাহে,সকালে ব্যায়াম করলে শরীর ভালো থাকে
বেইন্নে বিয়াম গরিলি শরীল গম থাহে,সকালে ব্যায়াম করলে শরীর ভালো থাকে
ফজোরত বিয়াম গরিলি শরীল ভালা থাহে,সকালে ব্যায়াম করলে শরীর ভালো থাকে
বেইন্নে বিয়াম গরিলি শরীর ভালা থাহে,সকালে ব্যায়াম করলে শরীর ভালো থাকে
"আঁর বাজেট বেশি নেই, পাঁশশো টিয়ার মধ্যে কি ভালা কিছু দেহাইত ফারিবেন?","আমার বাজেট বেশি নেই, পাঁচশো টাকার মধ্যে কি ভালো কিছু দেখাতে পারবেন?"
"আঁর বাজেট বেশি নেই, পাঁশশো টিয়ার মধ্যে কি গম কিছু দেহাইত ফারিবেন?","আমার বাজেট বেশি নেই, পাঁচশো টাকার মধ্যে কি ভালো কিছু দেখাতে পারবেন?"
পিকনিক গরিবের লাই এক্কান নিরিবিলি জাগা তোওয়াই বাইর গর,পিকনিক করার জন্য একটা নিরিবিলি জায়গা খুঁজে বের কর
মাঢ়োত যাইরে দেহি এনডে কিয়াই নাই,মাঠে গিয়ে দেখি সেখানে কেও নাই
হাম শেষ গরি হত টিয়া পাবি বুঝি লইস,কাজ শেষ করে কত টাকা পাবি বুঝে নিস
হাজ শেষ গরি হত টিয়া পাবি বুঝি লইস,কাজ শেষ করে কত টাকা পাবি বুঝে নিস
"কিছুক্ষনের মধ্যে ঝর আইত ফারে, ছাতি ইয়েন লই যও","কিছুক্ষণের মধ্যে বৃষ্টি আসতে পারে, ছাতাটা নিয়ে যাও"
ফুত জি'র লাই মা ছায়ার মতন,ছেলেমেয়ের জন্য মা ছায়ার মতো
আঁরো গুয়াছি গাছোত সবসময় গুয়াসি ধরে,আমাদের পেয়ারা গাছে সবসময় পেয়ারা ধরে
আঁর শুরুদ্দিত্তুনই ইতের উদ্দি সন্দেহ আছিল,আমার শুরু থেকেই ওর ওপর সন্দেহ ছিল
আঁর আফা বৌত গম,আমার আপু অনেক ভাল
আঁর আফা বৌত ভালা,আমার আপু অনেক ভাল
অঁনোর গুরো ফুওয়া ইবে তো বেইন্নে ফজোরত বাইর অই গেইয়্যি,আপনার ছোট ছেলে তো সাত সকালে বের হয়ে গেছে
অঁনোর গুরো ফুওয়া ইবে তো বেইন্নে বেইন্নে বাইর অই গেইয়্যি,আপনার ছোট ছেলে তো সাত সকালে বের হয়ে গেছে
"যদি তুঁই ঠিক গরি ফেলো হন পথোত যাইতো চো, আঁই পুরো যাত্রাত তোঁয়ার সঙ্গ দিবের লাই প্রস্তুত আছি"," যদি তুমি ঠিক করে ফেলো কোন পথে যেতে চাও, আমি পুরো যাত্রায় তোমার সঙ্গ দিতে প্রস্তুত আছি"
"তুই চিন্তে ন গরিস, স্যার আঁরারে কিছু ন হইবু","তুই চিন্তা করিস না, স্যার আমাদের কিছু বলবেন না"
হানোর নিছে দুওয়ো চোয়ার দিয়্যুম যদি আবার টিয়ার হতা হস,কানের নিছে দুইটা থাপ্পর দিব যদি আবার টাকার কথা বলিস
হানোর নিছে দুওয়ো চোয়ার দিয়্যুম যদি আবার টিয়ার হথা হস,কানের নিছে দুইটা থাপ্পর দিব যদি আবার টাকার কথা বলিস
তুঁই বিয়াক কিছু আঁর উদ্দি ছারি দো,তুমি সবকিছু আমার উপার ছেড়ে দাও
"ব্যাপার কি, আজিয়ে তোঁয়ারে বৌত সুন্দার লাগের","ব্যাপার কি, আজকে তোমাকে অনেক সুন্দর লাগতাছে"
"ব্যাপার কি, আজিইয়্যে তোঁয়ারে বৌত সুন্দার লাগের","ব্যাপার কি, আজকে তোমাকে অনেক সুন্দর লাগতাছে"
"ব্যাপার কি, আজিয়ে তোঁয়ারে বৌত সুন্দার লার","ব্যাপার কি, আজকে তোমাকে অনেক সুন্দর লাগতাছে"
আঁর হালা শার্ট ইবে হনডে? তোওয়াই ন পাইদ্দি,আমার কালো শার্টটি কোথায়? খুঁজে পাচ্ছি না যে
তোঁয়ার বদ্দা এহন কি গরে? চঅরি গরে নাকি ব্যাবসা গরে?,"তোমার বড় ভাই এখন কি করে, জব করে নাকি ব্যাবসা করে?"
এগুন অত্তুন কেনে ফরি গেইয়্যি?,এগুলো ওখান থেকে কীভাবে পড়ে গেল?
একদিন ব্যায়াম গরি আঁর পা আর লরাইত ন পারির,একদিন ব্যায়াম করে আমার পা আর নাড়াতে পারছি না
"আঁরে মনোত গরি আমিরেবাদ নামাই দিয়্যুন, আঁই জাগা ন চিনি এতেল্লে","আমাকে মনে করে আমিরাবাদে নামিয়ে দিয়েন, আমি জায়গা চিনি না তাই"
বেশিক্ষন হেইল্যে ফেডে থাহিলি গ্যাস্ট্রিকুর সমস্যা অয়,দীর্ঘক্ষণ খালি পেটে থাকলে গ্যাস্ট্রিকের সমস্যা হয়
বেশিক্ষন হালি ফেডে থাহিলি গ্যাস্ট্রিকুর সমস্যা অয়,দীর্ঘক্ষণ খালি পেটে থাকলে গ্যাস্ট্রিকের সমস্যা হয়
"চা, যা অইবের অই গেইয়্যি, এহন মন হারাপ গরি হনো লাভ ন অইবু","দেখ, যা হওয়ার হয়ে গেছে, এখন মন খারাপ করে কোনো লাভ হবে না"
"আঁই তোঁয়ার আব্বুরে চিনি, ইবে তো বৌত ভালা মনুর মানুষ","আমি তোমার আব্বুকে চিনি, উনি তো অনেক ভালো মনের মানুষ"
"আঁই তোঁয়ার আব্বুরে চিনি, ইবে তো বৌত গম মনুর মানুষ","আমি তোমার আব্বুকে চিনি, উনি তো অনেক ভালো মনের মানুষ"
"উডোনোত বৌত হাচারা অইয়্যি, ঝারু দন ফরিবু আজিয়ে","উঠানে অনেক ময়লা হয়েছে, ঝাড়ু দিতে হবে আজকে"
"উডোনোত বৌত হাচারা অইয়্যি, ঝারু দন ফরিবু আজিইয়্যে","উঠানে অনেক ময়লা হয়েছে, ঝাড়ু দিতে হবে আজকে"
"উডোনোত বৌত ময়লা অইয়্যি, ঝারু দন ফরিবু আজিয়ে","উঠানে অনেক ময়লা হয়েছে, ঝাড়ু দিতে হবে আজকে"
"কিরে, তোর মন হনডে? হার হাছে চলি গেইয়্যি?","কিরে, তোর মন কোথায়? কার কাছে চলে গেছে?"
"ফোন রিসিভ ন গরের, মনে অয় বিজি","ফোন রিসভ করছেনা, মনে হয় ব্যস্ত"
"আর একশ টিয়া ফেরত দন, আত্তুন গারিভারা নেই","আর একশ টাকা ফেরত দেন, আমার গাড়িভাড়া নেই"
এত প্রশ্ন কা গরো তুঁই? সবসময় ইয়েন-উইয়েন হইতেই থাহো,এত প্রশ্ন কেন কর তুমি? সবসময় এটা-সেটা বলতেই থাকো
গত হালিয়ে ইয়েল উজ্ঞো আইয়্যিরে আঁর বিয়াজ্ঞুনুত্তুন বরো কুরো ইবে ধরি লই গেইয়্যি,গতকাল শিয়াল একটা এসে আমার সবচেয়ে বড় মুরগিটা ধরে নিয়ে গেছে
গত হালিয়ে ইয়েল উজ্ঞো আইয়্যিরে আঁর বিয়াজ্ঞুনুত্তুন বরো কুরা ইবে ধরি লই গেইয়্যি,গতকাল শিয়াল একটা এসে আমার সবচেয়ে বড় মুরগিটা ধরে নিয়ে গেছে
নিজেও হষ্ট ফর আর আঁরেও হষ্ট দর,নিজেও কষ্ট পাচ্ছিস এবং আমাকেও কষ্ট দিচ্ছিস
"আত্তুন ঘোরাঘুরি ভালা ন লাগে, আত্তুন বাসাত বই থাকতেই ভালা লাগে","আমার ঘোরাঘুরি ভালো লাগে না, আমার বাসায় বসে থাকতেই ভালো লাগে"
"আত্তুন ঘোরাঘুরি গম ন লাগে, আত্তুন বাসাত বই থাকতেই ভালা লাগে","আমার ঘোরাঘুরি ভালো লাগে না, আমার বাসায় বসে থাকতেই ভালো লাগে"
"স্যার, আঁর হাতা ন লইয়্যুন, আঁই ইতেত্তুন নো চাই","স্যার, আমার খাতা নেবেন না, আমি ওর থেকে দেখিনি"
"তুর আফারে ডাক্তারোর হাছে লই যন ফরিবু, এক্কান সিএনজি লই আয়","তোর আপুকে ডাক্তারের কাছে নিয়ে যেতে হবে, একটা সিএনজি নিয়ে আয়"
"তোঁয়াত্তুন এত চিন্তে গরন ফইত্তু ন, আঁর চিন্তে আঁই গইজ্জুম","তোমার এত চিন্তা করতে হবেনা, আমার চিন্তা আমি করব"
হালিয়েও যদি এল্লেত ঝর পরে তইলি টুরুত যাইতাম নো,"আগামীকালও যদি এভাবে বৃষ্টি পড়ে, তাহলে টুরে যাব না"
হালিয়েও যদি এন গরি ঝর পরে তইলি টুরুত যাইতাম নো,"আগামীকালও যদি এভাবে বৃষ্টি পড়ে, তাহলে টুরে যাব না"
হালিয়েও যদি এইল্লেত ঝর পরে তইলি টুরুত যাইতাম নো,"আগামীকালও যদি এভাবে বৃষ্টি পড়ে, তাহলে টুরে যাব না"
হালিয়েও যদি ইল্লেত ঝর পরে তইলি টুরুত যাইতাম নো,"আগামীকালও যদি এভাবে বৃষ্টি পড়ে, তাহলে টুরে যাব না"
"অইনুর তাপ বৌত বারি গেইয়্যি, বেশি গরি পানি","আগুনের তাপ অনেক বেড়ে গেছে, বেশি করে পানি ঢালো"
"আত্তুন ইউরুপুত যাইবের ইচ্ছে, হন দেশুত গেলি ভালা অইবু?","আমার ইউরোপে যাওয়ার ইচ্ছা, কোন দেশে গেলে ভালো হবে?"
"আত্তুন ইউরুপুত যাইবের ইচ্ছে, হন দেশুত গেলি গম অইবু?","আমার ইউরোপে যাওয়ার ইচ্ছা, কোন দেশে গেলে ভালো হবে?"
"ভুলুত্তুন মানুষ শিখে, এতেল্লে ভুল গরন ভালা","ভুল থেকে মানুষ শেখে, সে জন্য ভুল করা ভালো"
"ভুলুত্তুন মানুষ শিখে, এতেল্লে ভুল গরন গম","ভুল থেকে মানুষ শেখে, সে জন্য ভুল করা ভালো"
হুত্তা ইবে এক্কানা বরো সাইজুর পন যাইবু?,এই জামাটা একটু বড় সাইজে পাওয়া যাবে?
হুত্তা ইবে ইক্কিনি বরো সাইজুর পন যাইবু?,এই জামাটা একটু বড় সাইজে পাওয়া যাবে?
আঁর বইন আঁরে হয়দে আঁই বলে বিয়ে গরিলি ইতিরে ভুলি যাইয়্যুম,আমার বোন আমাকে বলে আমি নাকি বিয়ে করলে তাকে ভুলে যাব
অঁনেরা তো রমজানুর এক মাসুর লাভ দি আরা বছর চলিত পারিবেন,আপনারা তো রমজানের এক মাসের লাভ দিয়ে সারা বছর চলতে পারবেন
বেইন্নে আঁই ভাত হাইতাম নো,সকালে আমি ভাত খাবো না
ফজোরত আঁই ভাত হাইতাম নো,সকালে আমি ভাত খাবো না
হর ইবের দাম হত বদ্দা?,কাপড় এটার দাম কত ভাই?
লগে আদা-রসুন আর ৫০০ গ্রামুর উজ্ঞো হাঁটি গাওয়া ঘি দন,সাথে আদা-রসুন আর ৫০০ গ্রামের একটা খাঁটি গাওয়া ঘি দিয়েন
ওয়ারে আদা-রসুন আর ৫০০ গ্রামুর উজ্ঞো হাঁটি গাওয়া ঘি দন,সাথে আদা-রসুন আর ৫০০ গ্রামের একটা খাঁটি গাওয়া ঘি দিয়েন
ফুয়ারে আদা-রসুন আর ৫০০ গ্রামুর উজ্ঞো হাঁটি গাওয়া ঘি দন,সাথে আদা-রসুন আর ৫০০ গ্রামের একটা খাঁটি গাওয়া ঘি দিয়েন
তোরে এল্লেত উরে হনে উইঠতো হইয়্যি দে?,তোকে এত ওপরে কে উঠতে বলছে?
তোরে এতো উরে হনে উইঠতো হইয়্যি দে?,তোকে এত ওপরে কে উঠতে বলছে?
এতেল্লে এক বস্তা চইল লই আইস্যি,সেজন্য এক বস্তা চাল নিয়ে আসছি
