Bangla,Chatgaya
"আমাদের সিট একসাথে পড়েছে, যেতে যেতে আমরা অনেক গল্প করব","আঁরার সিট এক্কোত্তরে ফইজ্জি, যাইতে যাইতে আঁরা বত গল্প গইজ্জুম"
"আমাদের সিট একসাথে পড়েছে, যেতে যেতে আমরা অনেক গল্প করব","আঁরার সিট এক্কোওয়ারে ফইজ্জি, যাইতে যাইতে আঁরা বত গল্প গইজ্জুম"
"আমাদের সিট একসাথে পড়েছে, যেতে যেতে আমরা অনেক গল্প করব","আঁরার সিট এক্কোফুয়ারে ফইজ্জি, যাইতে যাইতে আঁরা বত গল্প গইজ্জুম"
বৃষ্টির কারণে ঘন ঘন লোডশেডিং হচ্ছে,বৃষ্টির হারনে ঘন ঘন লোডশেডিং অর
"দরজায় দাঁড়িয়ে কাস্টমার ডাক, না হলে আসবে না","দরজাত থিয়েই কাস্টোমার ডাক, নইলি ন আইবু"
"এই কাপড়গুলো ধুতে হবে না, এগুলো আজকে পরব","হর এগুন ধুঅন ফইত্তো ন, এগুন আজিয়ে ফইজ্জুম"
"এই কাপড়গুলো ধুতে হবে না, এগুলো আজকে পরব","হর এগুন ধুঅন ফইত্তো ন, এগুন আজিইয়্যে ফইজ্জুম"
সারারাত না ঘুমিয়ে কী করেছিস? কার সঙ্গে কথা বলেছিস?,আঁরারাইত নো ঘুমাই কি গইজ্জুস? হার লগে হতা হইয়্যুস?
সারারাত না ঘুমিয়ে কী করেছিস? কার সঙ্গে কথা বলেছিস?,আঁরারাইত নো ঘুমাই কি গইজ্জুস? হার লগে হথা হইয়্যুস?
বাংলাদেশ অনেক আর্জেন্টিনার সাপোর্টার আছে,বাংলাদেশুত বত আর্জেন্টিনার সাপোর্টার আছে
পিঠা বানানোর জন্য আগামীকাল ভোরে উঠতে হবে,পিডে বানাইবের লাই হালিয়ে ফোওয়াত্তে উডন ফরিবু
এটা কি বাসার দারোয়ান?,ইবে কি বাসার দারোওয়ান?
আমি এখন চলে  যাচ্ছি,আঁই এহন  চলি যাইর
কোথায় যাস সেলিম?,হনডে যর সেলিম?
কোথায় যাস সেলিম?,হডে যর সেলিম?
"আমার বাজেট বেশি নেই, সেজন্য এটা নিতে পারব না","আঁর বাজেট বেশি নেই, এতেল্লে ইবে লইত পাইত্তাম ন"
"তোমাকে দেখে অসুস্থ মনে হচ্ছে, তুমি না হয় এখন চলে যাও","তোঁয়ারে দেহি রে অসুস্থ মনে অর, তুঁই নয়তো এহন চলি যো"
"তোমাকে দেখে অসুস্থ মনে হচ্ছে, তুমি না হয় এখন চলে যাও","তোঁয়ারে দেহি রে অসুস্থ মনে অর, তুঁই নইলি এহন চলি যো"
"তোমরা বিকাল ৫টা পর্যন্ত যত ইচ্ছা ঘোরাঘুরি কর সমস্যা নেই, কিন্তু ৫টায় সবাই বাসে চলে আসবে","তোঁয়ারা বিকেল ৫টা পর্যন্ত যত ইচ্ছে ঘোরাঘুরি গরো সমস্যা নেই, কিন্তু ৫টায় বিয়াজ্ঞুন বাসুত চলি আইবে"
"তোমরা বিকাল ৫টা পর্যন্ত যত ইচ্ছা ঘোরাঘুরি কর সমস্যা নেই, কিন্তু ৫টায় সবাই বাসে চলে আসবে","তোঁয়ারা বিকেল ৫টা পর্যন্ত যত ইচ্ছে ঘোরাঘুরি গরো সমস্যা নেই, কিন্তু ৫টায় বেজ্ঞুন বাসুত চলি আইবে"
"স্যার, আমি ওর দিকে তাকাইনি","স্যার, আঁই ইতের মিক্কে নো চাই"
মার খেতে না চাইলে রাতে জলদি ঘুমিয়ে যাস,মাইর হাইতু ন চাইলি রাতিয়ে হারা ঘুমাই যাইস
মার খেতে না চাইলে রাতে জলদি ঘুমিয়ে যাস,মাইর হাইতু ন চাইলি রাতিয়ে তারাতারি ঘুমাই যাইস
মার খেতে না চাইলে রাতে জলদি ঘুমিয়ে যাস,মাইর হাইতু ন চাইলি রাতিয়ে জলদি ঘুমাই যাইস
"ওরা যদি যেতে না চায়, তাহলে আমাদের কিছু করার নাই","ইতারা যদি যাইতো ন চায়, তইলি আরাত্তুন কিছু গরার নাই"
আমি তোমার বড় হিসেবে এই উপদেশটা দিলাম,আঁই তোঁয়ার বরো হিসেবে এই উপদেশ ইয়েন দিলাম
"রান্নাঘরটা বেশি ময়লা হয়ে গেছে, আজকে পরিষ্কার করতে হবে","বসহানা ইয়েন বেশি হাচারা অই গেইয়্যি, আজিয়ে সাফ গরি ফেলন ফরিবু"
"রান্নাঘরটা বেশি ময়লা হয়ে গেছে, আজকে পরিষ্কার করতে হবে","বসহানা ইয়েন বেশি হাচারা অই গেইয়্যি, আজিইয়্যে সাফ গরি ফেলন ফরিবু"
"রান্নাঘরটা বেশি ময়লা হয়ে গেছে, আজকে পরিষ্কার করতে হবে","বসহানা ইয়েন বেশি ময়লা অই গেইয়্যি, আজিয়ে সাফ গরি ফেলন ফরিবু"
"রান্নাঘরটা বেশি ময়লা হয়ে গেছে, আজকে পরিষ্কার করতে হবে","পাকঘর ইয়েন বেশি হাচারা অই গেইয়্যি, আজিয়ে সাফ গরি ফেলন ফরিবু"
"রান্নাঘরটা বেশি ময়লা হয়ে গেছে, আজকে পরিষ্কার করতে হবে","রান্নাঘর ইয়েন বেশি হাচারা অই গেইয়্যি, আজিয়ে সাফ গরি ফেলন ফরিবু"
"রান্নাঘরটা বেশি ময়লা হয়ে গেছে, আজকে পরিষ্কার করতে হবে","বসহানা ইয়েন বেশি হাচারা অই গেইয়্যি, আজিয়ে পরিষ্কার গরি ফেলন ফরিবু"
"আগুনের তাপ অনেক বেড়ে গেছে, বেশি করে পানি ঢালো","অইনুর তাপ বত বারি গেইয়্যি, বেশি গরি পানি"
"যদি যাদু না করত, তাহলে তুই এরকম পাগল হয়ে যেতি না","যদি যাদু ন গইত্তো, তইলি তুই এল্লেত ফঅল অই ন যাইতি"
আমাদের পেয়ারা গাছে সবসময় পেয়ারা ধরে,আঁরো গুয়াছি গাছোত সবসময় গুয়াসি ধরে
গতকাল ফুফাতো ভাইয়ের সাথে অনেক জায়গায় বাসা খুঁজেছি,গত হালিয়ে ফোতু ভাইয়ুর লগে বত জাগাত বাসা তোওয়াই
গতকাল ফুফাতো ভাইয়ের সাথে অনেক জায়গায় বাসা খুঁজেছি,গত হালিয়ে ফোতু ভাইয়ুর ওয়ারে বত জাগাত বাসা তোওয়াই
গতকাল ফুফাতো ভাইয়ের সাথে অনেক জায়গায় বাসা খুঁজেছি,গত হালিয়ে ফোতু ভাইয়ুর ফুয়ারে বত জাগাত বাসা তোওয়াই
"চলো, আমরা দুজন মিলে কোথাও ঘুরে আসি","চলো, আঁরা দুনুজন মিলি হনোমিক্কে ঘুরি আয়"
"ওকে দেখলে আমার মন চায়, একটা ঘাড়ে দিই",ইতেরে দেহিলি আত্তুন মন চায় উজ্ঞো ঘেডি বেরাই দি
সকাল সকাল খিচুড়ি খেয়ে আমার পেটের অবস্থা খারাপ,বেইন্নে ফজোরত খিচুড়ি হাইয়্যি রে আঁর পেডোর অবস্থা হারাফ
"আমি মানিব্যাগ আনতে ভুলে গেছি, টাকা কি বিকাশে দিয়ে দেব?","আঁই মানিব্যাগ আনিবের লাই ভুলি গেই, টিয়া কি বিকাশুত দি দিয়্যুম?"
"এই শোন, তুমি একটু বোঝার চেষ্টা করো","এই উনো না, তুঁই এক্কানা বুঝিবের চেষ্টা গরো"
"এই শোন, তুমি একটু বোঝার চেষ্টা করো","এই উনো না, তুঁই ইক্কিনি বুঝিবের চেষ্টা গরো"
এবার রাজশাহী গেলে বেশি করে রাজশাহীর আম আর লিচু নিয়ে আসব,এবার রাজশাহীত গেলি বেশি গরি রাজশাহীর আম আর লেচু লই আইসসুম
"আজকে অফিসে একটা গুরুত্বপূর্ণ মিটিং আছে, একটু দোয়া করিও","আজিয়ে অফিসুত এক্কান গুরুত্বপুর্ণ মিটিং আছে, এক্কানা দোয়া গইজ্জো"
"আজকে অফিসে একটা গুরুত্বপূর্ণ মিটিং আছে, একটু দোয়া করিও","আজিইয়্যে অফিসুত এক্কান গুরুত্বপুর্ণ মিটিং আছে, এক্কানা দোয়া গইজ্জো"
"আজকে অফিসে একটা গুরুত্বপূর্ণ মিটিং আছে, একটু দোয়া করিও","আজিয়ে অফিসুত এক্কান গুরুত্বপুর্ণ মিটিং আছে, ইক্কিনি দোয়া গইজ্জো"
"বাইরে অনেক ঠান্ডা, এই কম্বলটা মানুষটাকে দিয়ে আয়","বাইরে বত ঠান্ডা, এই হম্বল ইয়েন মানুষ ইবেরে দি আয়"
"বাইরে অনেক ঠান্ডা, এই কম্বলটা মানুষটাকে দিয়ে আয়","বাদ্দি বত ঠান্ডা, এই হম্বল ইয়েন মানুষ ইবেরে দি আয়"
"তুমি যখন আমার মাথায় হাত বুলিয়ে দাও, তখন আমার মন থেকে সব দুঃখ চলে যায়","তুঁই যহন আঁর মাথাত আত বুলাই দও, তহন আঁর মনোত্তুন বিয়াক দুখ চলি যায়"
আজকে দুপুরে একটা বিয়ের দাওয়াত ছিল,আজিয়ে দুইজ্জে এক্কান বিয়ের দঅত আছিল
আজকে দুপুরে একটা বিয়ের দাওয়াত ছিল,আজিইয়্যে দুইজ্জে এক্কান বিয়ের দঅত আছিল
আজকে দুপুরে একটা বিয়ের দাওয়াত ছিল,আজিয়ে দুইরগে এক্কান বিয়ের দঅত আছিল
ঈদের দিন রান্না করার জন্য পোলাওয়ের চাল নিয়ে আসেন,ঈদুর দিন রান্না গরিবের লাই পোলও উর চইল লই আইয়্যুন
"কতক্ষণ ধরে বরশি নিয়ে বসে আছি, একটা মাছও ধরতে পারিনি","হতক্ষন ধরি বরকি লই বই থেইক্কি, উজ্ঞো মাছও ধরিত ন পারি"
"চট্টগ্রাম থেকে সিলেট অনেক দূরে, আমরা কাছে কোথাও যাই","চট্টগ্রাম উত্তুন সিলেট বত দূরে, আঁরা হাছে হনোমিক্কে যাই"
আমি অনেকক্ষণ ধরে তোমার জন্য অপেক্ষা করছি,আঁই বত হতক্ষন ধরি তোঁয়ার লাই অপেক্ষা গরির
"তুমি ঘরের বড় ছেলে হওয়ার পরও যদি না বোঝো, তাহলে কেমনে হবে","তুঁই ঘরুর বরো ফুওয়া অইবের পরও যদি নো বুঝো, তইলি কেনে অইবু"
রাতে না খেয়ে ঘুমালে সকালে উঠে দুর্বল লাগবে,রাতিয়ে ন হায় ঘুমাইলি বেইন্নে উডি দুর্বল লাগিবু
রাতে না খেয়ে ঘুমালে সকালে উঠে দুর্বল লাগবে,রাতিয়ে ন হায় ঘুমাইলি ফজোরত উডি দুর্বল লাগিবু
"আমার কেন জানি মনে হচ্ছে, তুমি ওখানে ছিলে",আত্তুন কেনে জানি মনে অদ্দে তুঁই এনডেই আছিলে
"আমার কেন জানি মনে হচ্ছে, তুমি ওখানে ছিলে",আত্তুন কেনে হইত পারি মনে অদ্দে তুঁই এনডেই আছিলে
"আমরা যদি রাগটা নিয়ন্ত্রণ করতে পারি, তাহলে আমরা অনেক ভালো থাকব","আঁরা যদি গুসসা ইয়েন নিয়ন্ত্রন গরিত পারি, তইলি আঁরা বত ভালা থাইক্কুম"
"আমরা যদি রাগটা নিয়ন্ত্রণ করতে পারি, তাহলে আমরা অনেক ভালো থাকব","আঁরা যদি গুসসা ইয়েন নিয়ন্ত্রন গরিত পারি, তইলি আঁরা বত গম থাইক্কুম"
"আমাদের বাড়িতে এত এত মেহমান আসে, তাদের খাওয়াতে খাওয়াতে সব চাওল শেষ হয়ে যায়","আঁরো বারিত এত এত মেমান আইয়্যি, ইতারারে হাবাইতে হাবাইতে বিয়াক চইল শেষ অই যায়"
"আমাদের বাড়িতে এত এত মেহমান আসে, তাদের খাওয়াতে খাওয়াতে সব চাওল শেষ হয়ে যায়","আঁরো বারিত এত এত গরবা আইয়্যি, ইতারারে হাবাইতে হাবাইতে বিয়াক চইল শেষ অই যায়"
আপনার দোকানের জিনিস ভাল বলে এখানে আসলাম,অঁনোর দোয়ানুর জিনিস ভালা বলি এনডে আইস্যি
আপনার দোকানের জিনিস ভাল বলে এখানে আসলাম,অঁনোর দোয়ানুর জিনিস গম বলি এনডে আইস্যি
এবার গাছে অনেক আম ধরেছে,এবার গাছোত বত আম ধইজ্জি
গরম বেশি পড়ার কারণে স্কুল-কলেজ বন্ধ করে দিয়েছে,গরম বেশি ফরিবের হারনে স্কুল-কলেজ বন্ধ গরি দিইয়্যি
স্কুলের বেতন না দিলে স্কুলে ঢুকতে দেবে না বলল,স্কুলুর বেতন ন দিলি স্কুতুত ঢুইকতো ন দিবু হইয়্যি
"আমার রান্না এখনো শেষ হয় নায়, আরেকটু অপেক্ষা কর","আঁর রান্না এহনো শেষ ন অয়, আরেক্কানা অপেক্ষা গরো"
"আমার রান্না এখনো শেষ হয় নায়, আরেকটু অপেক্ষা কর","আঁর রান্না এইজু শেষ ন অয়, আরেক্কানা অপেক্ষা গরো"
"এখন সকাল দশটা বাজে, এখনো কেন ঘুম থেকে উঠছিস না!","এহন বেইন্নে দশটা বাজের, এহনো কিল্লে ঘুমুত্তুন নো উডর দে!"
"এখন সকাল দশটা বাজে, এখনো কেন ঘুম থেকে উঠছিস না!","এহন বেইন্নে দশটা বাজের, এইজু কিল্লে ঘুমুত্তুন নো উডর দে!"
আমাদের পাশে ভারত নামে একটা দেশ আছে,আঁরার পাশে ভারত নামে এক্কান দেশ আছে
আমাদের পাশে ভারত নামে একটা দেশ আছে,আঁরার ডাহে ভারত নামে এক্কান দেশ আছে
"ভাইয়া, তোমাকে আম্মু ডাকছে","ভাইয়ে, তোঁয়ারে আম্মু ডাহের"
আপনি কার মাধ্যমে এখানে এসেছেন?,অঁনে হার মাইধ্যমে এনডে আইস্যুন?
শীতের সকালে ভোরবেলা উঠে নামাজ পড়তে যাওয়া সত্যিই অনেক কঠিন কাজ,শীতুর সকালে ফুওয়াত্তে উডি নামাজ ফইত্তো যন সত্যিই বত কঠিন হাজ
শীতের সকালে ভোরবেলা উঠে নামাজ পড়তে যাওয়া সত্যিই অনেক কঠিন কাজ,শীতুর সকালে ফুওয়াত্তে উডি নামাজ ফইত্তো যন সত্যিই বত কঠিন হাম
"তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না","তোরাত্তুন দুরে থাহিলিই ভালা, একলগে থাহিলি এক্কানও ভালা হতা নো অয়"
"তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না","তোরাত্তুন দুরে থাহিলিই ভালা, একলগে থাহিলি এক্কানও গম হতা নো অয়"
"তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না","তোরাত্তুন দুরে থাহিলিই ভালা, এক্কোত্তরে থাহিলি এক্কানও ভালা হতা নো অয়"
"তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না","তোরাত্তুন দুরে থাহিলিই ভালা, এক্কোওয়ারে থাহিলি এক্কানও ভালা হতা নো অয়"
"তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না","তোরাত্তুন দুরে থাহিলিই ভালা, এক্কোফুয়ারে থাহিলি এক্কানও ভালা হতা নো অয়"
"তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না","তোরাত্তুন দুরে থাহিলিই ভালা, একলগে থাহিলি এক্কানও ভালা হথা নো অয়"
"যখনই মনে হবে হারিয়ে ফেলেছ, তখনই একটু থেমে নিজেকে জিজ্ঞেস করো—তুমি কেন শুরু করেছিলে","যহনই মনে অইবু আঝাই ফেলাইয়্যো, তহনই এক্কানা থামি রে নিজোরে ফুসর গরো—তুঁই কিল্লে শুরু গইজ্জিলে"
"যখনই মনে হবে হারিয়ে ফেলেছ, তখনই একটু থেমে নিজেকে জিজ্ঞেস করো—তুমি কেন শুরু করেছিলে","যহনই মনে অইবু আঝাই ফেলাইয়্যো, তহনই ইক্কিনি থামি রে নিজোরে ফুসর গরো—তুঁই কিল্লে শুরু গইজ্জিলে"
"যখনই মনে হবে হারিয়ে ফেলেছ, তখনই একটু থেমে নিজেকে জিজ্ঞেস করো—তুমি কেন শুরু করেছিলে","যহনই মনে অইবু আঝাই ফেলাইয়্যো, তহনই এক্কানা থামি রে নিজোরে ফুস গরো—তুঁই কিল্লে শুরু গইজ্জিলে"
"ফুটবল খেলে পা একদম ব্যথা হয়ে গেছে, এখন হাঁটতেও পারছি না","ফুটবল খেলি টেং এব্বেরে ব্যথা অই গেইয়্যি, এহন আডিতও ন পারির"
"তারা যতই চেষ্টা করুক না কেন, আমরা থামব না","ইতারা যতই চেষ্টা গরক না কেন, আঁরা ন থাইম্মুম"
দুইটা কিনলে সাথে একটা ফ্রি,দুওয়ো কিনিলি লগে উজ্ঞো ফ্রি
দুইটা কিনলে সাথে একটা ফ্রি,দুওয়ো কিনিলি ওয়ারে উজ্ঞো ফ্রি
দুইটা কিনলে সাথে একটা ফ্রি,দুওয়ো কিনিলি ফুয়ারে উজ্ঞো ফ্রি
"তোমাকে আর কোনো টাকা দেব না আমি, তুমি শপিং করে করে সব টাকা শেষ করে ফেলো","তোঁয়ারে আর হনো টিয়া দিতাম ন আঁই, তুঁই শপিং গরি গরি বিয়াক টিয়া শেষ গরি ফেলো"
আমার সবচেয়ে খারাপ সময়ে আমার কোনো বন্ধু পাশে ছিল না,আঁর বিয়াজ্ঞুনুত্তুন হারাপ সময়ুত আঁর হনো বন্ধু পাশে ন আছিল
আমার সবচেয়ে খারাপ সময়ে আমার কোনো বন্ধু পাশে ছিল না,আঁর বিয়াজ্ঞুনুত্তুন হারাপ সময়ুত আঁর হনো বন্ধু ডাহে ন আছিল
আমাকে একটু চিনি কম দিয়ে এক কাপ চা দিও,আঁরে এক্কানা চিনি হম দি এক হাপ চা দিও
আমাকে একটু চিনি কম দিয়ে এক কাপ চা দিও,আঁরে ইক্কিনি চিনি হম দি এক হাপ চা দিও
"আজকের দিনটি এমনি এমনি চলে গেল, কিছুই করতে পারলাম না","আজিয়ের দিন ইয়েন এনে এনে চলি গেইয়্যি, কিছুই গরিত ন ফারি"
সামনে কি কোনো পেট্রোল পাম্প আছে? আমার গাড়ির তেল শেষ হয়ে গেছে,সামনে কি হনো পেট্রোল পাম্প আছে? আঁর গারির তেল শেষ অই গেইয়্যি
"আমাদের একজন গণিত স্যার ছিলেন, উনি ঝড়-তুফানের মধ্যেও ক্লাসে চলে আসতেন","আরাত্তুন উজ্ঞো গণিত স্যার আছিল, ইবে ঝর-তুওয়োনুর মধ্যেও ক্লাসুত চলি আইসতো"
ছোটবেলায় আম্মুর কাছে ১৯৯১ সালের বন্যার কথা শুনেছিলাম,গুরো থাকতে আম্মুর হাছে ১৯৯১ সালুর বন্যার হথা উইন্নিলাম
ছোটবেলায় আম্মুর কাছে ১৯৯১ সালের বন্যার কথা শুনেছিলাম,গুরো থাকতে আম্মুর হাছে ১৯৯১ সালুর বন্যার হতা উইন্নিলাম
"আমি এখন থেকে টাকা জমাচ্ছি, যেন বন্ধে কোথাও একটু ঘুরে আসতে পারি","আঁই এহনুত্তুন টিয়া জমাইর, যেন বন্ধত হনোমিক্কে এক্কানা ঘুরি আইত ফারি"
"আমি এখন থেকে টাকা জমাচ্ছি, যেন বন্ধে কোথাও একটু ঘুরে আসতে পারি","আঁই এহনুত্তুন টিয়া জমাইর, যেন বন্ধত হনোমিক্কে ইক্কিনি ঘুরি আইত ফারি"
"যারা নিয়মিত খেলাধুলা করে, তাদের মন আর শরীর দুটোই ভালো থাকে","যারা নিয়মিত খেলাধুলা গরে, তারার মন আর শরীল দুইয়েন ই ভালা থাহে"
"যারা নিয়মিত খেলাধুলা করে, তাদের মন আর শরীর দুটোই ভালো থাকে","যারা নিয়মিত খেলাধুলা গরে, তারার মন আর শরীল দুইয়েন ই গম থাহে"
"যারা নিয়মিত খেলাধুলা করে, তাদের মন আর শরীর দুটোই ভালো থাকে","যারা নিয়মিত খেলাধুলা গরে, তারার মন আর শরীর দুইয়েন ই ভালা থাহে"
"জলদি আই, দেরি হলে মা গালি দিবে","হারা আই, দেরি অইলি আম্মু গেইল দিবো"
"জলদি আই, দেরি হলে মা গালি দিবে","তারাতারি আই, দেরি অইলি আম্মু গেইল দিবো"
"জলদি আই, দেরি হলে মা গালি দিবে","জলদি আই, দেরি অইলি আম্মু গেইল দিবো"
"তুই যদি আমার কথা মতো কাজ না করিস, তাহলে তোর চাকরি চলে যাবে","তুই যদি আঁর হতা মতো হাজ ন গরস, তইলি তোর চঅরি চলি যাইবু"
"তুই যদি আমার কথা মতো কাজ না করিস, তাহলে তোর চাকরি চলে যাবে","তুই যদি আঁর হতা মতো হাম ন গরস, তইলি তোর চঅরি চলি যাইবু"
"তুই যদি আমার কথা মতো কাজ না করিস, তাহলে তোর চাকরি চলে যাবে","তুই যদি আঁর হথা মতো হাজ ন গরস, তইলি তোর চঅরি চলি যাইবু"
আপনারা তো রমজানের এক মাসের লাভ দিয়ে সারা বছর চলতে পারবেন,অঁনেরা তো রমজানুর এক মাসুর লাভ দি আরা বছর চলিত পারিবেন
কার কপালে কি লিখা আছে সেটা একমাত্র আল্লাহ ভাল জানেন,হার হুয়ালুত কি লেহা আছে ইয়েন একমাত্র আল্লাহ ভালা জানে
কার কপালে কি লিখা আছে সেটা একমাত্র আল্লাহ ভাল জানেন,হার হুয়ালুত কি লেহা আছে ইয়েন একমাত্র আল্লাহ গম জানে
"দেরি করলে আর পাবেন না, শেষ হয়ে যাবে","দেরি গরিলি আর ন ফাইবেন, শেষ অই যাইবু"
কয়েকদিন ধরে কানে একটা শোঁ শোঁ শব্দ হচ্ছে,হয়েকদিন ধরি হানুত উজ্ঞো শো শো আওয়াজ অর
"তুমি একটু এদিকে আসো, তোমার সঙ্গে একটু কথা বলতে চায়","তুঁই এক্কানা ইক্কে আইয়্যো, তোঁয়ার লগে এক্কানা হতা হইতাম চায়"
"তুমি একটু এদিকে আসো, তোমার সঙ্গে একটু কথা বলতে চায়","তুঁই ইক্কিনি ইক্কে আইয়্যো, তোঁয়ার লগে এক্কানা হতা হইতাম চায়"
"তুমি একটু এদিকে আসো, তোমার সঙ্গে একটু কথা বলতে চায়","তুঁই এক্কানা ইক্কে আইয়্যো, তোঁয়ার লগে এক্কানা হথা হইতাম চায়"
এগুলো শেষ করতে করতে আগামীকাল হয়ে যাবে,এগিন শেষ গত্তে গত্তে হালিয়ে অই যাইবু
আমার বোনের বিয়েতে দেওয়ার জন্য কিছু ভালো গিফট আইটেম দেখান,আঁর বইনুর বিয়েত দিবের লাই কিছু ভালা গিপট আইটেম দেহন
আমার বোনের বিয়েতে দেওয়ার জন্য কিছু ভালো গিফট আইটেম দেখান,আঁর বইনুর বিয়েত দিবের লাই কিছু গম গিপট আইটেম দেহন
"একবার চেক করে দেখ, সবাই বাসে উঠছে কি না","একবার চেক গরি স, বিয়াজ্ঞুন বাসুত উইঠটি কিনা"
"একবার চেক করে দেখ, সবাই বাসে উঠছে কি না","একবার চেক গরি স, বেজ্ঞুন বাসুত উইঠটি কিনা"
"তোর ছোট বোনটা বেশি কাবিল, সব জায়গায় কথা বলে","তুর ছোডো বইন ইতি বেশি হাবিল, বিয়াক জাগাত হতা হয়"
"তোর ছোট বোনটা বেশি কাবিল, সব জায়গায় কথা বলে","তুর ছোডো বইন ইতি বেশি হাবিল, বিয়াক জাগাত হথা হয়"
"এই দোকানের কাপড়গুলো অনেক দামি, আমরা অন্য দোকানে দেখি","এই দোয়ানুর হর এগিন বত দামি, আঁরা অন্য দোয়ানুত চাই"
"আপনি একটু ধৈর্য ধরুন, সব ঠিকঠাক হয়ে যাবে","অঁনে এক্কানা ধৈর্য ধরন, বিয়াক ঠিকঠাক অই যাইবু"
"আপনি একটু ধৈর্য ধরুন, সব ঠিকঠাক হয়ে যাবে","অঁনে ইক্কিনি ধৈর্য ধরন, বিয়াক ঠিকঠাক অই যাইবু"
এই রাস্তা দিয়ে রাতে চলাচল নিরাপদ না,এই রাস্তা দি রাতিয়ে চলাচল নিরাপদ ন
আমি বেড়াতে আসতে বললাম,আঁই বেরাইতু আইসতাম হইলাম
প্রতিবার ঈদের দিন নানুর বাড়িতে যায়,পইত্তোবার ঈদুর দিন নানারো বারিত যায়
"ভুল থেকে মানুষ শেখে, সে জন্য ভুল করা ভালো","ভুলুত্তুন মানুষ শিখে, এতেল্লে ভুল গরন ভালা"
"ভুল থেকে মানুষ শেখে, সে জন্য ভুল করা ভালো","ভুলুত্তুন মানুষ শিখে, এতেল্লে ভুল গরন গম"
"এই চার বছরে যদি কারও মনে কোনো কষ্ট দিয়ে থাকি, তাহলে ক্ষমা করে দিস",এই চেইর বছরে যদি কিয়ার মনত হনো হষ্ট দি থাহি তইলি ক্ষমা গরি দিস
"আজকে হাসপাতালে গিয়ে রক্ত পরীক্ষা দিয়ে এলাম, রিপোর্টের জন্য অপেক্ষায় আছি","আজিয়ে হাসপাতালুত যাই রক্ত পরীক্ষে দি আইলাম, রিপোর্ট উর অপেক্ষাত আছি"
"আজকে হাসপাতালে গিয়ে রক্ত পরীক্ষা দিয়ে এলাম, রিপোর্টের জন্য অপেক্ষায় আছি","আজিইয়্যে হাসপাতালুত যাই রক্ত পরীক্ষে দি আইলাম, রিপোর্ট উর অপেক্ষাত আছি"
"এই শাড়িটার দাম কত, একটু বলবেন?","শারি ইয়েনুর দাম হতো, এক্কানা হইবেন?"
"এই শাড়িটার দাম কত, একটু বলবেন?","শারি ইয়েনুর দাম হতো, ইক্কিনি হইবেন?"
"সূর্য ডোবার আগেই ঘরে আয়, নাহয় মার খাবি আমার হাতে","সূর্য ডুফিবের আগেই ঘরোত আই, নইলি মাইর হাবি আঁর আতুত"
"বাইরে অনেক বেশি গরম, একটা ছাতা নিয়ে যাও","বাইরে বত বেশি গরম, এক্কান ছাতি লই যও"
"বাইরে অনেক বেশি গরম, একটা ছাতা নিয়ে যাও","বাদ্দি বত বেশি গরম, এক্কান ছাতি লই যও"
"আমি যাব না, কারন বেশি রোদ","আঁই যাইতাম নো, হারন বেশি রইদ"
"এই কুকুরটা অনেক দুষ্টু, সবসময় দুষ্টামি করে","এই কুত্তো ইবে বত যারগো, সবসময় যারগই গরে"
রাঙামাটি না গিয়ে বান্দরবান গেলে ভাল হবে,রাঙামাটি ন যায় বান্দরবন যাইলি ভালা অইবু
রাঙামাটি না গিয়ে বান্দরবান গেলে ভাল হবে,রাঙামাটি ন যায় বান্দরবন যাইলি গম অইবু
আমার মতে বান্দরবান থেকে কক্সবাজার যাওয়া ভালো হবে,আঁর মতে বান্দরবন উত্তুন কক্সবাজার যন ভালা অইবু
আমার মতে বান্দরবান থেকে কক্সবাজার যাওয়া ভালো হবে,আঁর মতে বান্দরবন উত্তুন কক্সবাজার যন গম অইবু
"মার্কেটে অনেক ভিড়, তাই আসতে দেরি হবে","মার্কেটুত বত জাম, এতেল্লে আসতে দেরি অইবু"
"ছেলেটাকে ডিম দিতে হবে, বেশি দুর্বল হয়ে গেছে","ফুওয়া ইবেরে ডিম দন ফরিবু, বেশি দুর্বল অই গেইয়্যি"
এভাবে আমাদের সবাইকে ফেলে একা চলে যাচ্ছিস,এন গরি আঁরা বিয়াজ্ঞুনুরে ফেলাই এহেল্লে চলি যর
"আমার নাম মাসুম না, আমার নাম হলো সিহাব","আঁর নাম মাসুম নো, আঁর নাম অইলু দে সিহাব"
"আমি এখন খাব না, একটু পরে খাব","আঁই এহন হাইতাম নো, এক্কানা পরে হাইয়্যুম"
"আমি এখন খাব না, একটু পরে খাব","আঁই এহন হাইতাম নো, ইক্কিনি পরে হাইয়্যুম"
